Label,Tweet
1,In CPEC agreement a Chinese cricket team should have been included so that in case there is a dearth of international matches for Pakistan  China will tour Paxitan  https://t co/FUNungr0O1
1,China extends congratulations to JCC meeting’s outcome  #APPNews #China #CPEC #JCC @CathayPak @ForeignOfficePk    https://t co/wZgAqTXu3r via @appcsocialmedia
1,Jam Kamal Khan explains the province's challenges  his government's priorities  He wants CPEC to play a bigger role in Balochistan and tells us what needs to be done to bring 'Naraz Baloch' back into the fold  @TeamPakDefense #OurHopeJamKamal https://t co/pfFjUdSucD
1,@SkyNews This was political move made by NZ  UK and Australia  It has nothing to do with security but rather geo political situation where Pakistan is host to Multibillion dollar project CPEC  First UK doesnt want to invest in Pakistan and when China does they start $hiting bricks 
1,"Ambassador Zhang Chunxiang addressing a webinar ""China-Pakistan Relations in Changing Geopolitical Environment and Its Role in Regional Security and Stability"" hosted by ISSI https://t co/iD4uGxSRDn"
1,@yasmeen_9 Delicate balance has to be maintained between economic growth related to CPEC and maintaining the Greenhouse effect  Planting trees is a must but this stage in CPEC will come after all corridors/ SEZs/ proposed rail link from Haripur to Khunjrab pass is completed 
0,In the 10th JCC Pak govt scrapped plans to renegotiate $15b energy projects under #CPEC  This was a major concession offered by Pak and in return  it did not get much except for vague commitments on Karachi Coastal Comprehensive Development Zone (KCCDZ)   
0,Baloch Republican Army (#BRA) criticized #Pakistan-#China relations and the Belt and Road Initiative  claiming: “a historical game is being played against the Baloch identity in the name of so-called #CPEC  against which the Baloch resistance will prove to be a leaden wall ” #BRI https://t co/7C0qNtLlmJ
1,CPEC revolutionized Pakistan’s energy  infrastructure and trade sectors  Dr Moeed Yusuf 
0,"Gwadar  the ""crown jewel"" of CPEC is witnessing massive protests over water and electricity supply  https://t co/7SGy1PCav7"
1,Chief Minister Balochistan  Jam Kamal Khan termed Pakistan China Economic Corridor (CPEC) as a game-changer in the region in terms of economic development and opening of new vistas of opportunities  #OurHopeJamKamal @TeamPakDefense https://t co/Jg1w2boviS
1,CPEC  is big example of Pak-China friendship  #PakChinaMediaForum @Nab33l_says
1,All #CPEC projects were executed with highest standards of professionalism &amp; quality  Havelian Thakot Motorway Project  118 kms  was commenced in 2016  Long Live Pak-China Friendship  Congrats Amb Nong Rong &amp; M/s China Comm Construction Company Ltd  @AmbNong @CathayPak @zlj517 https://t co/LFwt3Hfqfy
0,China’s interest in CPEC has very strong military undertones and hence  it must be stopped   disrupting China’s military expansionism in South Asia is independent Balochistan   #حمدالله #ShehnaazGiIl #القادسيه_العربي #BrianLaundrie #اليوم_الوطني_السعودي #دفن_الهلال #لبنان https://t co/fKlqqE88x9
1,Wishing all my Chinese friends a very happy 72nd National Day  Longlife🇵🇰🇨🇳Friendship  @CathayPak @PakAmbChina @AmbNong @CPEC_Official @zlj517 @Gwadar_Pro @Mushahid @zhang_heqing @ForeignOfficePk @CPEC_UPDATE https://t co/8kFJbJfr9n
1,#PakistanBlueEconomy The chief guest said that the China-Pakistan Economic Corridor (CPEC) was rightfully considered a game-changer not only for Pakistan but for the economic development and prosperity of the entire region     @A_Awan10 @PakAlphaFamily https://t co/Lbg86aSI0Y
1,#Pakistan is pushing for Taliban held #Afghanistan to join #CPEC infrastructure project  Mansoor Ahmad Khan  Pakistan's envoy to Afghanistan says that discussions with #Taliban have been held on this and other ways to develop the county's economy   @alysonle tells you more https://t co/WDkJB1W0lr
1,CPEC moving forward with renewed vigour  https://t co/D2MYXgFKu5
1,Discussion on Importance of CPEC for Regional Connectivity and to Enhance Geographical linkages https://t co/hJdhWaKPT6   #Radio #RadioPakistan #Pakistan #CPEC #China https://t co/x10cVILF5z
0,@hathyogi31 China has stakes now in POK with CPEC investments!! The above is not going to happen unless India is thinking of going to war with China   which no one wants
1,"“Our #China #Pakistan Economic Corridor (#CPEC) cooperation successfully stood the test of time during the very challenging #pandemic  and the work on all CPEC projects continued unhindered mainly due to the resolute commitment of the top leadership of both countries"": Asad Umar https://t co/qybpyiPDjs"
0,@Mushahid Please be aware of debt trap because of reckless inclusion of projects in CPEC without developing payback capabilities 
1,Inflation wave is temporary  acceleration in pace of  work on CPEC to scale down price hike: PM  #PMImranKhan  #CPEC #temporary #Inflation #acceleration #price @PakPMO  
1,Pakistan seeks expansion of CPEC to Afghanistan: ambassador https://t co/bkvzbhxNdc
0,New CPEC waterfront for Karachi | KCCDZ: After disagreement with PPP on Bundle Island  seems like the federal government is now doing its own thing in co-operation with CPEC and KPT  I personally don't see this materializing as it gives off similar vibes… https://t co/GSsiY8KupG
1,Minister for Planning and Development @Asad_Umar said it has been decided to establish a dedicated investor facilitation center for Chinese companies to fully facilitate the Chinese investment in Pakistan 
1,CPEC serve as a game change on region: AJK PM #Pakistan #AJK #CPEC #AJKPM #DTD #Kashmir @AjkPid https://t co/rNOo9UubuU
1,CPEC is now being expanded from power generation &amp; road infrastructure projects to industrialization  which will help Pakistan reduce the debt burden through wealth creation  PM @ImranIsmailPTI at the inauguration of the Matiari-Lahore transmission line    https://t co/eq2cAH0HNG
1,"@ImranKhanPTI @AliSalmanPTI @CPEC_Official  (BTech Hons)-Engineering technologist graduates can be effective in favour of national industrial revolution through direct entry as Job title of ""Engineer"" what foreign countries have which is  mentioned here https://t co/8bUNNofPHE https://t co/d4vwkQhrfX"
1,CPEC project KCCDZ to make Karachi among the top port cities of the World https://t co/BtrwdACYVC https://t co/UfRT0rSAsb
1,"Global Times: ""The key to the success of CPEC is that Pakistan needs to form its own industrial advantages through reform and development that can provide a safer environment for the construction of #CPEC """
0,TTP fighters and Baloch separatist groups accelerated their attacks on Chinese interests in #Pakistan since the #Taliban takeover  including projects associated with the US$60 billion China-Pakistan Economic Corridor #CPEC https://t co/0Z0XMdgtY7
1,#CPEC: Pakistan’s Planning Commission orders to ensure electricity to #Gwadar Airport  Read more on:  
0,@shah_uk1 @meharbhutani @Ban454500 @THESIKKHISBACK #GBIsNotPakistan #CPEC Is An #ILLEGAL #PROJECT #FreeBalochistan #FreeSindhuDesh #FreeAfghanistan #FreePashtunistan  #StopGenocide Support #War_Against_Jihad
1,Prime Minister Imran Khan on Thursday said the pace of #China–Pakistan Economic Corridor (#CPEC) projects would be accelerated as some were delayed after the emergence of the Covid-19 pandemic  @ImranGhazaliPK @CathayPak @zhang_heqing @AmbNong @zlj517 @WangXianfeng8 @ShaheenChen https://t co/hmfTIqK9WM
1,@KhattakZad KCR is going to be a game changer for public there  Maps are available on Internet and you can have a look  Also details given on cpec official page 
0,@The_SharkSlayer @TheWolfpackIN If you would have been a bit interested about your country's economical status You would know!   What's the last time when Pakistan's Growth rate crossed 5 or 6 % Mark?  How much did Pakistan earn or is earning from CPEC but you are Paying interest at what? Double or triple rates
1,CPEC  is big example of Pak-China friendship  #PakChinaMediaForum
1,KCCDZ  an initiative of the Ministry of Maritime Affairs focuses on providing Karachi with an ultra modern urban infrastructure zone  placing Karachi amongst the top port cities of the world ” https://t co/XgYltu78eR
1,#OurHopeJamKamal Chief Minister Balochistan  Jam Kamal Khan on Thursday termed Pakistan China Economic Corridor (CPEC) as a  @TeamPakDefense https://t co/WypVeF4r53
1,"#NoPowerCanUndoPAK The government is""seriously focusing"" on the social and economic uplift of the province   The Gwadar port along with projects under the China-Pakistan Economic Corridor (CPEC) would improve the lives of the people of Balochistan   @_Bhatti007  @OfficialTeamMAJ https://t co/mjZCNh40tG"
1,@appcsocialmedia @CathayPak @ForeignOfficePk CPEC's JCC meeting  albeit virtually  is a positive move forward after #Dasu attack Hope President Xi wud soon visit Pak but Pak &amp; China must recognize the Taliban led Govt in Afghanistan asap as that can b a big blow to regional &amp; int  terror sponsors working against Peace
0,Payables of power producers working under CPEC have topped Rs230bn  Govt expects billions of $s of investment in a railway project while struggling to pay IPP dues https://t co/BSJUuhzVPV
1,The Engineering News-Record- an American weekly magazine has awarded the Karakoram Highway Phase-II (Thahkot-Havelian)  a major project under China  Pakistan Economic Corridor (CPEC) project as the winner of Global Best Projects Juried Comptetion  @MaryamNSharif https://t co/7va7lSEDaY
1,Pakistan is talking about extending C-Pak to Afghanistan  Ambassador  Pakistan's ambassador to Afghanistan says Pakistan has talked about Afghanistan's involvement in the multi-billion-dollar Pak-China Economic Corridor (CPEC) infrastructure project led by the Taliban  https://t co/EyI2UwiWef https://t co/cWA6X3DGWI
1,The first batch of 40 #Chinese #electric buses for the #Green Line Bus Rapid Transit (#BRT) reached Karachi https://t co/CB0wVD5PA5
0,@I_am_araf @NidaKirmani She is not saying to invester we are demanding for our right the people of gwadar are being deprived of there own employment i mean fishing the cpec road are distrubing us to go for fishing and the army and navy are also tourcher us  #GwadarHamaraHai
0,Gen Milley considers it his constitutional duty to answer Congress  In Pakistan  parliamentarians are kept in dark about the contract (CPEC) which government itself signed with China  https://t co/yOu03O44pn
1,As the CPEC enters its second phase  Pakistan’s infrastructure planners have renewed their commitment to environmental and social sustainability  making for a greener CPEC   
1,CPEC continues successfully in challenging times: Asad Umar  #AsadUmar #CPEC #challenge #Work @Asad_Umar  
1,CPEC board approves Karachi coastline plan https://t co/4mWtxjhNNr https://t co/O4NvBdDXJw
0,China has expressed deep concerns over #CPEC  Planning committee chair said that Chinese companies are crying and ambassador was furious over the slow implementation  Indications of end of #BRI projects in #Pakistan is clear 
0,@BrigMahalingam whether we like or not indian primacy of ior   is challenged by china  usa west &amp; others &amp; so willy nilly it will become a battle ground as both choke points for world trade on land &amp; ocean lies with india (cpec can be choked &amp; sea lanes in ior as well)
0,Tall claims of #ironbrother friendship have been a hoax  China is merely a hard nosed &amp; selfish trader  Non-payment of promised returns from various #CPEC projects ($ 3 billion only from power plants) has seriously soured Sino-Pak relations   @cjwerleman 
1,CPEC is both to transform 🇵🇰economy by modernizing its road  rail  air  &amp; energy transportation systems—and to connect the deep-sea 🇵🇰 ports of Gwadar 🇨🇳 Xinjiang province &amp; beyond by overland routes  the countries of Mongolia  Russia  Kazakhstan  Kyrgyzstan  Tajikistan 🇦🇫  🇵🇰  https://t co/wCr270amJd
0,@WIONews @SaroyaHem @susanmtehrani 🤣🤣🤣🤣🤣 Really ?  He should  first vacate Tibet Axai Shaksagam valley  dismantle CPEC passing through Indian territory &amp; vacate illegal occupations before he preaches to the world  Gentleman’s speech doesn’t suit Xi   😁😁😁
1,CM Punjab @UsmanAkBuzdar will attend 10th CPEC JCC meeting today   #CPEC #CPECPhase2 #Punjab
1,Foreign investors express interest in Pakistan under CPEC  
0,Gawadar a poster child of CPEC today gave verdict against government policies  Organised by local leader of JI people came out in numbers and demanded basic necessities like clean water electricity and fishing rights  https://t co/xKzPPnPTxQ
1,China-Pakistan have expressed satisfaction with the progress of CPEC #PakChinaMediaForum
1,Pakistan Prime Minister #ImranKhan said that his government will expedite work on the $60 billion China-Pakistan Economic Corridor projects despite #COVID19 related problems  
1,Federal Minister for Planning  Development and Special Initiatives Asad Umar said on Thursday that despite many challenges  the CPEC was progressing successfully as many projects under the corridor have been completed in accordance with their set deadlines 
1,Interview with Geo’s Shahzeb Khanzada on China’s role post-US exit from Afghanistan: China &amp; Afghanistan can benefit from Belt &amp; Road Initiative (BRI)/CPEC which is BRI’s pivot  as China is one country with no ‘political extra-baggage’ &amp; after decades of war  transition to peace https://t co/xcWLRfszSS
1,ISLAMABAD:  Federal Minister for Planning  Development and Special Initiatives Asad Umar said on Thursday that despite many challenges  the #CPEC was progressing successfully as many projects under the #corridor have been completed in accordance with their set deadlines  https://t co/GtBJM9Ttk0
1,Premier @ImranKhanPTI inaugurates Matiari-Lahore transmission line  says 886 km-long power transmission line will help reduce losses   Read more: https://t co/ClMqc9Lagy  #GeoNews
0,#GBIsNotPakistan #CPEC Is An #ILLEGAL #PROJECT #FreeBalochistan #FreeSindhuDesh #FreeAfghanistan #FreePashtunistan  #StopGenocide Support #War_Against_Jihad https://t co/geZkSPxdKa
0,@AdiMian6 @yagesh_ #GBIsNotPakistan #CPEC Is An #ILLEGAL #PROJECT #FreeBalochistan #FreeSindhuDesh #FreeAfghanistan #FreePashtunistan  #StopGenocide Support #War_Against_Jihad
0,All is not well with #CPEC https://t co/o9x72R9Oi6
1,Nawaz Sharif is a visionary leader who started CPEC which is the future of Pakistan  #نشئی_نے_تحفے_بیچ_دیے
1,Special Assistant to Prime Minister on CPEC Affairs and Chairman CPEC Authority Mr Khalid Mansoor Highlights the importance of CPEC that how this is going to connect both countries to explore the mutual opportunities #LeadersInISB  #LeadersInIslamabad https://t co/wEd1TylHMB
1,There has been deep interest in terms of developing economic connectivity of Afghanistan with Pakistan through CPEC and with other neighbouring countries including Iran  China  Central Asian countries   #StandWithAfghanistan
0,Chinese were not satisfied with pace of work on CPEC &amp; no progress on portfolio seen during last 03years “They are crying”said Mandviwalla  adding“Chinese ambassador has complained you have destroyed CPEC &amp; no work was done in past 03years #FireImranKhan 
1,Mr  Jam Kamal Khan stated that Balochistan serves to be the land of opportunities since through CPEC  the province would get the country connected with the Central Asian States via Chaman  European countries via Iran and Turkey   #OurHopeJamKamal @TeamPakDefense
1,ISLAMABAD: Minister for Planning and Development @Asad_Umar has reiterated Pakistan’s commitment to the multi-billion dollar China-Pakistan Economic Corridor (CPEC) project  #Pakistan #CPEC #ImranKhan #China  https://t co/vUtlxTB54K
1,#PMImranKhan  assured on Thursday of expeditious progress on projects falling under the umbrella of the China-Pakistan Economic Corridor #CPEC   despite some relevant departments having faced difficulties due to the Covid-19 pandemic in the past   https://t co/Che3fhAWeQ
0,#Pakistan is on the verge of becoming a Chinese colony due to #CPEC  5 million Chinese will start working in Pakistan when Pakistani themselves are going in search of employment in #UAE  #SaudiArabia  Pakistan is badly buried under the debt of #China 
0,@yasirali023 @pandit_87 @JediOfDharma @Savaizkhan21 You fool you don't just accept the failure of 1971 but also all other battles  Lol  The world has seen what shit Pakistan is made up of  Losing wars after wars  And what cpec  beggars in front China  India is self reliant  Not beggars like Pakistan  Poor beggars  😂
0,@developingpak They’ve ruined CPEC 
1,CPEC is now being expanded from power generation &amp; road infrastructure projects to industrialization  which will help Pakistan reduce the debt burden through wealth creation  PM @ImranKhanPTI at the inauguration of the Matiari-Lahore transmission line  https://t co/vpunCiIFT1
1,Inclusion of Karachi Comprehensive Coastal Development Zone in CPEC is game changer  Will cleanup our marine habitat for fishermen  develop 20k low income housing units &amp; present opportunities for investors  Will put Khi at par with developed port cities Well done @MaritimeGovPK
1,#OurHopeJamKamal Mr  Jam Kamal Khan stated that Balochistan serves to be the land of opportunities since through CPEC  the province would get the country connected with the Central Asian States via Chaman  European countries via Iran and Turkey  @TeamPakDefense https://t co/fJ1ahfW5wG
1,The dilemma of drinking water supply &amp; others basic needs shall be solved as soon as possible  The infrastructure shall not make obstacles &amp; overthrow the residents of gwadar by the name of CPEC   #GwadarHamaraHai https://t co/GA4jzuRFzE
1,CPEC is the only game in the town: Senator Mushahid Hussain Sayed  @Mushahid @AajKamranKhan https://t co/AUu1qtR18E
1,CPEC continues successfully in challenging times  Phase-II projects meeting deadlines; Asad Umar: ISLAMABAD  Sep 23 (APP): Federal Minister for Planning  Development and Special Initiatives said Thursday… https://t co/VFlDmfsibj #IndiaBehindThreats #PAKvENG #WeDonotTrustTEPS
1,Deeper than the ocean  higher than mountains! 🌄  In a joint press conference in connection with the China Pakistan Economic Corridor (#CPEC)  planning minister Asad Umar highlighted the importance of the Pak-China relationship  https://t co/DVaish7FP4
0,#GBIsNotPakistan #CPEC Is An #ILLEGAL #PROJECT #FreeBalochistan #FreeSindhuDesh #FreeAfghanistan #FreePashtunistan  #StopGenocide Support #War_Against_Jihad https://t co/qxf7sRQscJ
1,Pakistan has discussed the Taliban-led Afghanistan joining the multibillion-dollar China-Pakistan Economic Corridor (CPEC) infrastructure project  #StandWithAfghanistan
1,CPEC brings direct investment of US$ 25 4 billion to #Pakistan : Ning Jizhe   #APPNews #CPEC @CPEC_UPDATE @CPEC_Official @zlj517 @CpecParliament   
1,#CPEC is moving to a new level     Pakistan  China agree on multi-billion dollar project for Karachi uplift under CPEC https://t co/Ljan0NCEmt via @pakobserver
1,@CPEC_Official Kindly add on outstanding project in Karachi building space available adjacent Civic Center Karachi  Its design IT Tower 50 floor Building for all IT Solutions including IT Technology University  May be patners all Internationale institutions
1,China-Pakistan have expressed satisfaction with the progress of CPEC  #PakChinaMediaForum
1,There is no doubt that India  burning in jealousy  is involved in terrorist activities in Balochistan to sabotage CPEC  India is also financing and facilitating the terrorist’s groups in Afghanistan to disrupt peace in Pakistan  @TeamPakDefense #OurArmyOurGlory @MianBabar181 https://t co/a1iXWAAIyS
1,CPEC development unhindered despite of challenges  says Asad Umar https://t co/Bj9icSfhMF
1,#OurHopeJamKamal @SyedRahmanAhmed @TeamPakDefense  Jam Kamal Khan explains the province's challenges  his government's priorities  He wants CPEC to play a bigger role in Balochistan and tells us what needs to be done to bring 'Naraz Baloch' back into the fold 
0,@ArnabUnofficial He is right  Look carefully 3rd and 4th floor is camouflaged using Chinese technology Pak army built under CPEC projects  #SerenaHotel 🤣✋🏻 https://t co/lOmNtQeR5x
0,China fears hostility between Pakistan Taliban and Islamabad endangers CPEC projects https://t co/mvbh1MpFtW via @india_narrative
0,@AdiMian6 @YakuzaHawk @ObaidKhane @majorgauravarya @abinandan #GBIsNotPakistan #CPEC Is An #ILLEGAL #PROJECT #FreeBalochistan #FreeSindhuDesh #FreeAfghanistan #FreePashtunistan  #StopGenocide Support #War_Against_Jihad
0,@CPEC_Official @YusufMoeed YOU NEED TO RESOLVED THE CORRUPTION PROBLEMS
0,Balochistan has been burning for decades  whatever you call it but Baloch is fighting for its rights  today the participation of a large number of people in the Gwadar rally is an announcement that now #Baloch will not be fooled in the name of #CPEC They want their rights https://t co/U6On9kJsxn
1,@MuzzammilAslam3 Shipping n Logistics in the light of CPEC n Gwadar n connectivity to cis n revamping pnsc dry cntr business ware housing port services r so massive that it ll easily compete with IT n tourism wrt gdp contribution job creation  Make SAPT khi the biggest transshipment port here
0,#GBIsNotPakistan #CPEC Is An #ILLEGAL #PROJECT #FreeBalochistan #FreeSindhuDesh #FreeAfghanistan #FreePashtunistan  #StopGenocide Support #War_Against_Jihad https://t co/4nRwAz9eij
1,Karachi coastal zone inclusion in CPEC a 'game-changer'  says PM Imran Khan: Developed on a reclaimed area of 640 hectares  the quantum of expected investment on KCCDZ is around $3 5 bn https://t co/M4gjIbVl4A #NationalT20Cup #HindutvaStateTerror #MuslimLivesMatter
0,@shah_uk1 @kakar_harsha You Pakistani deserves only chullu bhr pani     Do say     #GBIsNotPakistan #CPEC Is An #ILLEGAL #PROJECT #FreeBalochistan #FreeSindhuDesh #FreeAfghanistan #FreePashtunistan  #StopGenocide Support #War_Against_Jihad https://t co/XOT6RGxEPF
0,Allowing #China to transform #Pakistan and #GilgitBaltistan because you are unable to do so is the most cowardly step taken by PTI government  People are suffering because of this! 
0,@MARKIEEEE @LucasZZLu @MayaWintersSMS @RT_com @iingwen Pakistan hoped for prosperity wth BRI in CPEC Instead they are in debt they can not pay  It had to renew Gwadar port lease from 20 to 40 yr to China as they failed to pay CPEC installment due to Covid More countries are realizing that BRI is debt trap @SrilankaPMO @husainhaqqani
1,A great milestone to speed up industrialization and speed up #CPEC https://t co/gtGWVJf0bi
1,Pakistan and China face two challenges: (a) Security of the CPEC (b) Institutionalization of New cold war    To address the issue of CPEC security  we need to follow 3 Ps i e Promote  Preserve  and Protect CPEC: Mr  Mustafa Hyder Sayed  ED @pcipakchina https://t co/POKizn36r2
0,@adilmansoor91 Also that said  there might be some intentional reneging considering that CPEC wasn't the free lunch as it was made out to be  Now that the time for payments are due  we're realizing that we've gotten ourselves into a mess because of our incompetence that Chinese exploited 
1,The developed infrastructure under the China-Pakistan Economic Corridor (CPEC) is bringing stimulus to the Pakistani economy  creating jobs and improving business by starting a constructive process  #GwadarHamaraHai https://t co/Fd8zQGQhew
0,@ZeeshanBango Yes iran and india conspiracy against gawadar CPEC  Recent Chinese convoy sucide attacked by master mind Rasool Bakhsh citizen of chahbihar iran 
1,Pak-China friendship hospital to provide modern facilities to people of #Gwadar   #APPNews #CPEC @CathayPak @ForeignOfficePk   
1,An exquisite and colourful light show was organized at the Badaling Section of the 🇨🇳 iconic Great Wall as part of the celebrations of #70th_anniversary of establishment of diplomatic relations b/t 🇵🇰🇨🇳  jointly organized by the @PakinChina_ &amp; People’s Gov of Beijing Municipality https://t co/NvhcGXcQvI
1,agriculture can become the backbone of the country’s economy with the Chinese technology  China was providing help in the agriculture sector which will strengthen the sector with the latest technology #plan #supply of high-quality seeds to increase crop yields  @ImranKhan  #CPEC https://t co/lpLaboGpIs
1,CPEC Westren Route: (ISB-DIK Motorway) Installation of Traffic Signboards in progress at Rehmani Khel to Kot Belian  (Islamabad #DIKhan Motorway Package 2A) by Eastern Highway Company  -It will be open for traffic in Oct 2021 https://t co/rtKeQ617xT
0,@Iqbal12904009 @Mirzaraja14 @DrMFaisal @cyalm @SMQureshiPTI @ForeignOfficePk China will fck you hard than Taliban after completion of cpec   Wait for it   Already your international cricket boycotted   Your country will be boycotted soon wait  
0,@umarsaif IK and youthias jeopardized Pakistan's national interest for their campaign against PMLN  They caused a year delay in Chinese President's visit to Pakistan in which China had to initiate CPEC  IK personally mocked CPEC as loans  Youthias even held a protest outside UN against NS 
1,CPEC development unhindered despite of challenges  says Asad Umar https://t co/AFztcrHap1
0,@ArslanTahir I read a case study that Karachi requires over $10 billion for the infrastructure  China is investing a small fraction of it only in CPEC zones  Albeit Pakistan is already drowned by the loan and higher interest payments of CPEC
0,@Asad_Umar Sharm ani chahyn ap ko aur ap kay leader ko CPEC ko slow down sy band karty hoye  PTI is at Jewish’s agenda  That’s it
1,The key to the success of CPEC is that Pakistan needs to form its own industrial advantages through reform and development that can provide a safer environment for the construction of #CPEC  https://t co/OaVHqYSGb7
0,@ImranKhanPTI Arnab was right  Look carefully 3rd and 4th floor is camouflaged using Chinese technology Pak army built under CPEC projects  #fifth_floor  #ISIon5thFloor  🤪 https://t co/hz5BP8jMbG
1,"Pakistan &amp; China ""move on"" - BRI's safeguarded  Economic reboot    After months of speculations  Pakistan &amp; China have finally decided to look forward  The CPEC agreements signed - &amp; criticised for high unaffordable terms - are going to remain in tact    "
1,Suki Kinari Hydropower Project  a #CPEC clean energy project with total capacity of 884MW  successfully achieved another remarkable milestone! Steady progress has been made amid COVID-19  https://t co/MR8qysBcrj
1,CENTENNIAL GOALS OF CHINA: Learning from the Past; Planning for the Future // Panel 2 of the Symposium  @DrTMAwan @ayaqubch @zhang_heqing @SharifHaroon @pcipakchina @CPEC_Official  #CSC_CUI #centennialgoalsofchina #chinastudycenter https://t co/Jl4Ric7MOW
1,Senior economist urges Pakistan to learn from Chinese economic reforms of 1993/94  #Pakistan | #China | #CPEC Read more on: 
0,@Fearless_Fenrir @HindukushM @PankajK13720351 @atumm_bump @BleedGreen300 @majorgauravarya If u want to say anything baseless  go on  U have ur phone write anything u feel like  Everyone knows what's going on in between ur country n China  Even ur own country girls are exported to China in return China invest in ur CPEC project Think what r u giving in return  Shameful https://t co/q0EDCAbkZ1
0,"@TheWolfpackIN 😀 ""Mr  President today I bring to your notice  Pakistan don't have money to save CPEC engineers from TTP and Balochistan fighters  Kindly give us money  This is not a black mail FYI Xi ping saab"" 🙌"
1,@MalikAmmar author of the policy note is offering his recommendations on how the @GovtofKPK can integrate cities and urban economy in #CPEC   Join now: https://t co/mcBnwcfs9v  @SEEDinPakistan @IGC_Pakistan @IGC_CtW
0,Govt deliberately ran campaign against CPEC  says Ahsan Iqbal  Link: https://t co/3YuwLR0ZbF    #PublicNewsLive #PublicNews    @PTIofficial @pmln_org  @betterpakistan https://t co/q0bWBAjeRq
